#{"t_start": 1762977699.29812, "env_id": "None"}
r,l,t
21.8,47,643.647812
-2.2,12,644.254375
-6.1,6,644.68208
21.8,37,646.084488
1.4,16,646.792471
2.9,16,647.585
6.2,18,648.378014
32.3,47,650.098058
8.3,22,651.014121
-4.6,6,651.428626
-1.9,9,651.931615
9.8,22,652.84882
0.5,15,653.527899
-17.5,15,654.232729
-4.6,6,654.633096
-5.2,7,655.075252
-1.9,9,655.558312
-4.6,6,655.954978
-3.1,11,656.484444
0.5,15,657.191442
-4.6,6,657.617537
-4.6,6,658.000493
0.8,12,658.590887
-2.5,10,660.115078
-1.0,25,661.036624
-4.3,8,661.519741
-2.2,17,662.252069
3.5,15,662.950583
-3.7,7,663.365089
9.8,22,664.283909
-4.6,6,664.690547
-2.8,8,665.181983
-3.7,7,665.681433
-1.6,11,666.269888
-1.9,9,666.774074
-3.7,12,667.367829
-3.4,9,667.890357
-6.1,6,668.335502
8.0,20,669.203892
12.2,28,670.291371
11.6,24,671.312517
-3.4,9,671.822934
5.0,25,672.804962
11.3,27,673.836164
7.4,21,674.744123
1.1,14,675.425915
-4.6,6,675.866674
-4.6,6,676.281148
15.8,37,677.643366
-4.6,6,678.051637
-4.6,6,678.433985
-4.6,6,678.823931
1.7,13,679.46561
-6.1,6,679.897784
13.1,29,681.008592
-2.5,10,681.482078
2.6,14,682.10392
1.1,14,682.739881
-6.1,6,683.18372
5.6,19,684.030633
-4.6,6,685.176946
4.1,24,686.144873
9.8,22,687.078923
-1.3,18,687.869563
-6.1,6,688.239914
27.8,57,690.292501
-3.7,12,690.883529
10.7,28,691.905049
-2.8,8,692.39601
-1.6,11,692.992373
-6.1,6,693.429505
-1.9,9,693.911924
-2.8,8,694.417075
-7.6,6,694.809243
11.0,30,695.950459
-4.6,6,696.379636
-1.0,10,696.872739
-6.1,6,697.271493
-4.6,6,697.70752
21.2,43,699.284208
-3.7,17,700.084073
8.0,25,701.11053
-4.6,6,701.575826
-4.6,6,702.002302
-4.6,6,702.420928
8.0,25,703.444519
6.5,20,704.365039
-6.1,6,704.80362
0.5,15,705.468327
-2.8,8,705.94172
-4.6,6,706.364516
-1.9,9,706.86079
-7.6,6,707.285225
2.9,16,708.077656
7.7,33,709.96729
12.5,35,711.272576
11.3,32,712.411468
-7.6,6,712.833866
-1.3,13,713.495163
6.5,20,714.317451
5.0,20,715.206614
-4.6,6,715.634934
-1.9,9,716.133627
6.2,18,716.914964
18.8,37,718.349336
-1.0,10,718.871623
-6.4,14,719.529956
11.6,24,720.452908
-7.6,6,720.854958
4.4,16,721.560582
-1.9,9,722.078209
-3.1,11,722.664554
0.8,12,723.267322
-6.1,6,723.69052
8.9,26,724.698245
-5.8,8,725.202489
-0.4,19,726.010116
48.8,77,728.630943
2.6,14,729.315219
-4.6,6,729.712954
-6.1,6,730.154219
8.6,24,731.129183
2.0,15,731.823762
-1.9,9,733.069354
8.9,31,734.272249
2.6,14,734.976542
-4.6,6,735.369267
-4.6,6,735.770755
-2.8,8,736.244174
-4.6,6,736.651924
-0.1,21,737.577768
-2.5,15,738.291302
-1.6,11,738.86747
-7.6,6,739.275669
-9.1,11,739.894029
1.7,18,740.688147
1.7,13,741.311779
-4.6,6,741.717649
32.0,75,744.309441
-6.1,6,744.707624
-1.6,26,745.741629
4.7,18,746.548163
-0.1,11,747.153965
5.6,39,748.548273
-6.1,6,748.991205
1.7,28,750.075564
22.4,41,751.563211
2.9,26,752.584205
3.8,17,753.290589
1.7,13,753.903003
-4.0,10,754.427342
-4.6,6,754.815789
-6.4,9,755.341626
-4.6,6,756.552672
-2.8,8,757.028335
-6.1,6,757.462821
3.8,17,758.241877
1.7,28,759.348527
-1.9,14,760.04658
-1.9,9,760.569975
-1.9,9,761.062118
-6.1,6,761.474593
-6.1,6,761.898971
2.6,24,762.882086
6.2,18,763.68592
-2.5,10,764.210719
-7.6,6,764.623716
29.6,54,766.516943
4.4,16,767.225649
-0.7,17,768.009007
7.1,24,768.935447
-8.8,8,769.424336
5.9,21,770.323763
-4.6,6,770.706241
3.2,18,771.434264
8.3,22,772.339364
-4.6,6,772.751666
-0.7,12,773.348716
-2.5,10,773.878876
17.9,31,775.062643
-4.6,6,775.462792
4.7,18,776.225736
-2.5,10,776.801142
-5.8,8,777.281157
-1.9,19,778.086951
-4.6,6,778.533894
-0.4,14,779.193084
2.0,20,779.998496
-7.9,9,781.525986
-2.2,12,782.121986
-6.4,9,782.625466
-4.6,6,783.04075
11.3,27,784.154433
9.8,22,785.046197
-9.1,6,785.466155
-1.6,11,786.060876
-1.9,9,786.545987
-3.4,9,787.057756
-3.4,9,787.557786
11.6,24,788.573946
-6.1,6,788.977792
-10.3,23,789.909601
-3.7,7,790.368863
6.8,22,791.274245
